"site","tag","spcode","date","pd.psi","md.psi","year"
"GATEN","110","QUEM","10/24/10",NA,NA,10
"GATEN","111","QUEM","10/27/10",NA,NA,10
"GATEN","113","QUEM","10/24/10",NA,NA,10
"GATEN","116","QUEM","10/24/10",NA,NA,10
"GATEN","118","QUEM","10/24/10",NA,NA,10
"GATEN","119","QUEM","10/24/10",NA,NA,10
"MDN","274","QUEM","10/24/10",NA,NA,10
"MDN","275","QUEM","10/24/10",NA,NA,10
"MDN","276","QUEM","10/24/10",NA,NA,10
"MDN","284","QUEM","10/24/10",NA,NA,10
"MDN","286","QUEM","10/24/10",NA,NA,10
"MDS","237","QUEM","10/24/10",NA,NA,10
"MDS","238","QUEM","10/24/10",NA,NA,10
"MDS","239","QUEM","10/24/10",NA,NA,10
"MDS","242","QUEM","10/24/10",NA,NA,10
"GATEN","110","QUEM","01/16/11",NA,NA,11
"GATEN","111","QUEM","01/16/11",NA,NA,11
"GATEN","113","QUEM","01/16/11",NA,NA,11
"GATEN","116","QUEM","01/16/11",NA,NA,11
"GATEN","118","QUEM","01/16/11",NA,NA,11
"GATEN","119","QUEM","01/16/11",NA,NA,11
"MDN","274","QUEM","01/16/11",NA,-1.7,11
"MDN","275","QUEM","01/16/11",NA,-1.4,11
"MDN","276","QUEM","01/16/11",NA,-1.9,11
"MDN","284","QUEM","01/16/11",NA,-1.1,11
"MDN","286","QUEM","01/16/11",NA,-2.3,11
"MDS","237","QUEM","01/16/11",NA,-2.2,11
"MDS","238","QUEM","01/16/11",NA,-2.2,11
"MDS","239","QUEM","01/16/11",NA,-2.1,11
"MDS","242","QUEM","01/16/11",NA,-2.9,11
"GATEN","110","QUEM","03/13/11",NA,NA,11
"GATEN","111","QUEM","03/13/11",NA,NA,11
"GATEN","113","QUEM","03/13/11",NA,NA,11
"GATEN","116","QUEM","03/13/11",NA,NA,11
"GATEN","118","QUEM","03/13/11",NA,NA,11
"GATEN","119","QUEM","03/13/11",NA,NA,11
"MDN","274","QUEM","03/13/11",NA,-2.5,11
"MDN","275","QUEM","03/13/11",NA,-2.5,11
"MDN","276","QUEM","03/13/11",NA,-2.2,11
"MDN","284","QUEM","03/13/11",NA,-2.5,11
"MDN","286","QUEM","03/13/11",NA,-3,11
"MDS","237","QUEM","03/13/11",NA,-3,11
"MDS","238","QUEM","03/13/11",NA,-3.7,11
"MDS","239","QUEM","03/13/11",NA,-3,11
"MDS","242","QUEM","03/13/11",NA,-3.5,11
"GATEN","110","QUEM","04/10/11",NA,NA,11
"GATEN","111","QUEM","04/10/11",NA,NA,11
"GATEN","113","QUEM","04/10/11",NA,NA,11
"GATEN","116","QUEM","04/10/11",NA,NA,11
"GATEN","118","QUEM","04/10/11",NA,NA,11
"GATEN","119","QUEM","04/10/11",NA,NA,11
"MDN","274","QUEM","04/10/11",-3.15,-3.3,11
"MDN","286","QUEM","04/10/11",-2.85,-3.15,11
"MDN","284","QUEM","04/10/11",-2.55,-3.1,11
"MDN","275","QUEM","04/10/11",-1.75,-3.15,11
"MDN","276","QUEM","04/10/11",-1.7,-2.7,11
"MDS","242","QUEM","04/10/11",-3.25,-3.6,11
"MDS","239","QUEM","04/10/11",-3.1,-3.35,11
"MDS","237","QUEM","04/10/11",-2.7,-3.2,11
